vedadc_n,vantig_n,vnline_n,vgamma_c,veaseg_c,vctcpl_n,vccdeu_n,vccdeu_n,ttkbco_n,vtarge_c
55,,1,PREMIUM PLUS,n,36,4,4,1097490,0
76,139,1,PREMIUM,n,19,3,3,272289,0
72,111,1,ALTA,n,13,0,0,142206,0
,,3,PREMIUM PLUS,n,25,0,0,7488343,0
60,120,2,PREMIUM,n,9,0,0,1657896,0
,119,4,,no,20,1,1,0,0
43,,2,,n,35,4,4,5358636,0
83,,1,ALTA,n,10,1,1,0,0
51,,4,PREMIUM PLUS,n,11,0,0,0,0
70,,2,PREMIUM PLUS,s,21,3,3,2978382,0
,,1,,n,12,2,2,841417,0
61,132,4,PREMIUM PLUS,n,37,2,2,5922943,0
56,,3,PREMIUM PLUS,n,23,0,0,4174005,0
63,,1,PREMIUM PLUS,n,9,0,0,0,0
71,,2,ALTA,n,22,2,2,2645210,0
18,,5,PREMIUM PLUS,n,17,0,0,434190,0
71,,4,PREMIUM PLUS,s,14,0,0,0,0
36,172,1,PREMIUM,n,95,36,36,4558621,0
72,9,1,PREMIUM PLUS,n,23,0,0,2666441,0
62,,2,ALTA,n,44,6,6,0,0
52,,5,PREMIUM PLUS,n,17,0,0,0,0
58,,3,PREMIUM PLUS,n,55,15,15,8771078,0
54,,1,ALTA,n,57,12,12,0,0
,,1,,n,25,5,5,3793228,0
63,,1,PREMIUM,n,21,0,0,0,0
60,,2,PREMIUM,n,18,0,0,169289,0
66,154,1,PREMIUM PLUS,n,44,0,0,224810,0
55,,3,PREMIUM PLUS,n,38,9,9,1610322,0
,15,1,,n,28,3,3,1735765,0
35,132,1,PREMIUM PLUS,s,20,2,2,7777541,0
,,1,PREMIUM PLUS,n,24,0,0,259771,0
8,99,4,PREMIUM PLUS,n,48,2,2,0,0
71,,2,PREMIUM,n,32,0,0,692638,0
58,,1,PREMIUM PLUS,n,37,0,0,7981755,0
57,,1,PREMIUM,n,39,1,1,4822835,0
39,7,1,PREMIUM PLUS,n,36,3,3,0,0
55,,1,,n,83,25,25,0,0
70,,2,ALTA,n,16,5,5,0,0
58,,4,PREMIUM,n,82,25,25,0,0
58,163,2,PREMIUM PLUS,n,29,1,1,0,0
,,5,PREMIUM PLUS,n,14,0,0,0,0
55,,3,PREMIUM PLUS,n,28,0,0,6885088,0
54,21,2,,n,12,2,2,8160386,0
66,,2,PREMIUM PLUS,n,21,0,0,399158,0
,,4,,n,8,0,0,186228,0
55,,1,PREMIUM PLUS,n,57,7,7,0,0
69,89,1,PREMIUM PLUS,n,71,29,29,0,0
71,131,1,PREMIUM PLUS,n,20,0,0,1418367,0
59,81,1,PREMIUM PLUS,n,18,3,3,0,0
58,109,1,,n,0,0,0,0,0
67,,3,PREMIUM PLUS,n,43,0,0,6654667,0
66,128,1,PREMIUM PLUS,n,27,5,5,847795,0
65,,1,PREMIUM PLUS,n,50,12,12,0,0
60,,1,PREMIUM PLUS,n,34,11,11,0,0
,,2,,n,37,10,10,1650043,0
75,43,1,PREMIUM PLUS,s,8,0,0,701434,0
46,,6,PREMIUM,n,61,0,0,3027452,0
14,168,4,PREMIUM PLUS,n,35,1,1,1109403,0
54,16,1,PREMIUM PLUS,s,21,1,1,0,0
56,133,2,PREMIUM,n,21,1,1,36696,0
18,,4,,n,8,6,6,0,0
56,,3,,n,37,12,12,0,0
64,,3,PREMIUM PLUS,n,20,2,2,0,0
63,,2,PREMIUM PLUS,n,14,0,0,966208,0
47,143,2,PREMIUM PLUS,n,15,3,3,9699537,0
59,,3,PREMIUM PLUS,n,11,1,1,0,0
65,122,1,PREMIUM PLUS,n,17,1,1,0,0
60,,2,PREMIUM,n,15,0,0,0,0
58,,1,PREMIUM PLUS,n,30,3,3,5371183,0
72,,1,PREMIUM,n,2,0,0,164057,0
82,,1,ALTA,n,19,3,3,64,0
66,,2,PREMIUM,n,77,28,28,814057,0
53,,5,,n,46,3,3,1552976,0
79,107,1,,n,21,2,2,0,0
,,1,,n,15,1,1,0,0
116,,3,PREMIUM,n,25,1,1,0,0
,51,1,PREMIUM,n,32,0,0,0,0
62,,4,,n,10,1,1,1805085,0
,,3,,n,45,7,7,0,0
